社会福祉法人能輝人,3
社会福祉法人播磨町社会福祉協議会,3
社会福祉法人梅林会,3
社会福祉法人伯耆の国,3
社会福祉法人博愛,3
社会福祉法人博文会,3
社会福祉法人柏章会,3
社会福祉法人柏芳会記念福祉事業会,3
社会福祉法人白河市社会福祉協議会,3
社会福祉法人白久寿会,3
社会福祉法人白金会,3
社会福祉法人白糠町社会福祉協議会,3
社会福祉法人白秋会,3
社会福祉法人白百合福祉会,3
社会福祉法人白浜町社会福祉協議会,3
社会福祉法人白富会,3
社会福祉法人白惠会,3
社会福祉法人薄光会,3
社会福祉法人函南町社会福祉協議会,3
社会福祉法人函館愛育会,3
社会福祉法人函館松寿会,3
社会福祉法人箱根町社会福祉協議会,3
社会福祉法人八幸会,3
社会福祉法人八十八会,3
社会福祉法人八峰町社会福祉協議会,3
社会福祉法人比内ふくし会,3
社会福祉法人飛翔会,3
社会福祉法人琵琶湖愛輪会,3
社会福祉法人美咲会,3
社会福祉法人美深福祉会,3
社会福祉法人美濃市社会福祉協議会,3
社会福祉法人美馬市社会福祉協議会,3
社会福祉法人美方福祉会,3
社会福祉法人美福会,3
社会福祉法人彦根市社会福祉協議会,3
社会福祉法人彦成福祉会,3
社会福祉法人姫路社会福祉事業協会,3
社会福祉法人姫路東部福祉会,3
社会福祉法人姫路文化福祉会,3
社会福祉法人百寿会,3
社会福祉法人百丈山合掌会,3
社会福祉法人百八会,3
社会福祉法人百友会,3
社会福祉法人富岡市社会福祉協議会,3
社会福祉法人富岳会,3
社会福祉法人富山県呉西愛育会,3
社会福祉法人富士美,3
社会福祉法人布引会,3
社会福祉法人普照会,3
社会福祉法人武蔵野ユートピアダイアナクラブ,3
社会福祉法人武蔵野福祉会,3
社会福祉法人風の森,3
社会福祉法人風連福祉会,3
社会福祉法人文珠福祉会,3
社会福祉法人平取町社会福祉協議会,3
社会福祉法人平成苑,3
社会福祉法人平成記念福祉会,3
社会福祉法人平田村社会福祉協議会,3
社会福祉法人平内町社会福祉協議会,3
社会福祉法人平和の聖母,3
社会福祉法人別府会,3
社会福祉法人別福会,3
社会福祉法人母恋,3
社会福祉法人宝会,3
社会福祉法人宝寿福祉会,3
社会福祉法人放泉会,3
社会福祉法人朋岳園,3
社会福祉法人朋友福祉会,3
社会福祉法人朋和会,3
社会福祉法人芳春会,3
社会福祉法人蓬莱の会,3
社会福祉法人豊岡福祉会,3
社会福祉法人豊丘村社会福祉協議会,3
社会福祉法人豊橋市社会福祉協議会,3
社会福祉法人豊勝会,3
社会福祉法人豊中市社会福祉協議会,3
社会福祉法人豊美会,3
社会福祉法人豊明会,3
社会福祉法人豊里園,3
社会福祉法人鳳凰会,3
社会福祉法人鉾田市社会福祉協議会,3
社会福祉法人防府滋光会,3
社会福祉法人北茨城市社会福祉協議会,3
社会福祉法人北海道伊達博光会,3
社会福祉法人北海道厚真福祉会,3
社会福祉法人北九州市戸畑民生事業協会,3
社会福祉法人北九州福祉会,3
社会福祉法人北勝光生会,3
社会福祉法人北上市社会福祉協議会,3
社会福祉法人北伸福祉会,3
社会福祉法人北筑前福祉会,3
社会福祉法人北斗会,3
社会福祉法人北名古屋市社会福祉協議会,3
社会福祉法人北明会,3
社会福祉法人牧羊会,3
社会福祉法人睦愛会,3
社会福祉法人睦喜会,3
社会福祉法人幌延福祉会,3
社会福祉法人本覚寺苑,3
社会福祉法人本城会,3
社会福祉法人本部町社会福祉協議会,3
社会福祉法人未生会,3
社会福祉法人箕輪町社会福祉協議会,3
社会福祉法人夢のみずうみ村,3
社会福祉法人鵡川慶寿会,3
社会福祉法人名寄市社会福祉協議会,3
社会福祉法人明照園,3
社会福祉法人明成会,3
社会福祉法人明清会,3
社会福祉法人明雄福祉会,3
社会福祉法人明耀会,3
社会福祉法人綿半野原積善会,3
社会福祉法人茂原市社会福祉協議会,3
社会福祉法人茂樹会,3
社会福祉法人木古内町社会福祉協議会,3
社会福祉法人木城町社会福祉協議会,3
社会福祉法人木蓮会,3
社会福祉法人門川町社会福祉協議会,3
社会福祉法人野辺地町社会福祉協議会,3
社会福祉法人野木町社会福祉協議会,3
社会福祉法人弥生会,3
社会福祉法人弥富福祉会,3
社会福祉法人矢吹町社会福祉協議会,3
社会福祉法人柳津町社会福祉協議会,3
社会福祉法人優愛会,3
社会福祉法人優真会,3
社会福祉法人友遊会,3
社会福祉法人悠泰の郷,3
社会福祉法人悠遊会,3
社会福祉法人有磯会,3
社会福祉法人有田川町社会福祉協議会,3
社会福祉法人湧別町社会福祉協議会,3
社会福祉法人由布市社会福祉協議会,3
社会福祉法人祐愛会,3
社会福祉法人祐徳会,3
社会福祉法人裕裕会,3
社会福祉法人遊佐町社会福祉協議会,3
社会福祉法人遊心苑,3
社会福祉法人雄山会,3
社会福祉法人与論町社会福祉協議会,3
社会福祉法人様似福祉会,3
社会福祉法人陽山会,3
社会福祉法人陽樹会,3
社会福祉法人陽成会,3
社会福祉法人陽風園,3
社会福祉法人陽明会,3
社会福祉法人養父市社会福祉協議会,3
社会福祉法人養和会,3
社会福祉法人養福会,3
社会福祉法人羅臼町社会福祉協議会,3
社会福祉法人来島会,3
社会福祉法人嵐山町社会福祉協議会,3
社会福祉法人利尻町社会福祉協議会,3
社会福祉法人利府町社会福祉協議会,3
社会福祉法人流山市社会福祉協議会,3
社会福祉法人竜成園,3
社会福祉法人竜泉会,3
社会福祉法人龍心会,3
社会福祉法人緑ヶ丘学園,3
社会福祉法人緑生会,3
社会福祉法人林の森,3
社会福祉法人鈴保福祉会,3
社会福祉法人六親福祉会,3
社会福祉法人和悦会,3
社会福祉法人和歌山ひまわり会,3
社会福祉法人和敬会倶楽部,3
社会福祉法人和松会,3
社会福祉法人和人会,3
社会福祉法人和泉の国,3
社会福祉法人和泊町社会福祉協議会,3
社会福祉法人亘理町社会福祉協議会,3
社会福祉法人佛子園,3
社会福祉法人偕寿会,3
社会福祉法人廣山会,3
社会福祉法人櫟会,3
社会福祉法人櫻幸会,3
社会福祉法人櫻樹会,3
社会福祉法人滄溟会,3
社会福祉法人爛柯会,3
社会福祉法人翔美会,3
社会福祉法人藹々,3
社会福祉法人德榮会,3
社会福祉法人泚山会,3
社会福祉法人猪苗代福祉会,3
社会福祉法人益子町社会福祉協議会,3
社会福祉法人礼文町社会福祉協議会,3
社会福祉法人礼文福祉会,3
社会福祉法人神楽会,3
社会福祉法人神戸町社会福祉協議会,3
社会福祉法人神山町社会福祉協議会,3
社会福祉法人神川町社会福祉協議会,3
社会福祉法人祥健会,3
社会福祉法人福一会,3
社会福祉法人福因寺福祉会,3
社会福祉法人福岡光明会,3
社会福祉法人福桜会,3
社会福祉法人福山ひかり福祉会,3
社会福祉法人福住会,3
社会福祉法人福昭会,3
社会福祉法人福伸会,3
社会福祉法人福翠会,3
社会福祉法人福島市社会福祉協議会,3
社会福祉法人福文舎,3
社会福祉法人羽後町社会福祉協議会,3
社会福祉法人羽生市社会福祉協議会,3
社会福祉法人羽陽の里,3
社会福祉法人都賀の里,3
社会福祉法人隆徳会,3
社会福祉法人飯野ふるさと福祉会,3
社会福祉法人鶴守会,3
社会福祉法人京都育和会,3
社団　輔仁会,3
社団カワムラヤスオメディカルソサエティ,3
社団医療法人呉羽会,3
社団医療法人祐和会,3
若愛会,3
珠洲市,3
周南市,3
宗像医院,3
秀麗会,3
秋田医療福祉株式会社,3
十全堂株式会社,3
十和興産株式会社,3
順風会,3
小鮎ケアサービス株式会社,3
小国郷公立病院組合,3
小平町,3
小野医療器株式会社,3
小野町観光タクシー株式会社,3
松延ウェルフェアー株式会社,3
松江福祉公社,3
松山市シルバー人材センター,3
松涛会,3
松本ハイランド農業協同組合,3
松本市医師会,3
上越市,3
上総都市計画株式会社,3
城山三友会,3
城南保健生活協同組合,3
常新会,3
常盤タクシー株式会社,3
信州ライフケア株式会社,3
信和ビジネス株式会社,3
心の輝き合同会社,3
心ほっとケアサービス株式会社,3
心愛株式会社,3
新栄総合管理株式会社,3
新鋭工業販売株式会社,3
新潟かがやき農業協同組合,3
新潟県,3
新冠町,3
新宿区社会福祉事業団,3
新城市,3
森信建設株式会社,3
真愛会,3
真光会,3
真庭市社会福祉協議会,3
真和株式会社,3
親愛ケアサービス有限会社,3
身延町早川町国民健康保険病院一部事務組合,3
身延町早川町国民健康保険病院一部事務組合立飯富病院,3
仁愛ケアサービス株式会社,3
仁寿会,3
垂水市,3
杉の子会,3
瀬戸医心会,3
整友会,3
星野会,3
清恵会,3
清里町,3
生活協同組合　コープみらい,3
生成会,3
聖フランシスコ会,3
聖ルカ会,3
聖北会　有限会社　敬七商事,3
聖北会有限会社敬七商事,3
西印旛農業協同組合,3
西南エレックス有限会社,3
西尾市社会福祉協議会,3
西脇市,3
誠信会,3
青い鳥介護サービス株式会社,3
青空ケアサポートセンター有限会社,3
青山ライフ・ソリューション・サービス有限会社,3
青山白梅会,3
青峰会,3
石原管財株式会社,3
石黒メディカルシステム株式会社,3
積善会,3
碩済会,3
雪嶺会,3
仙北市,3
千葉県厚生農業協同組合連合会,3
川崎大師福祉会,3
浅井外科,3
善昭会,3
双葉会,3
総合ウェルフェア株式会社,3
綜合ヘルス・ケア株式会社,3
草寿株式会社,3
足利むつみ会,3
足利水道設備株式会社,3
多花楽会,3
多気郡農業協同組合,3
太公望株式会社,3
大茨会,3
大咲合同会社,3
大樹　株式会社,3
大心メディカルセンター合同会社,3
大盛有限会社,3
大善福祉会,3
大谷株式会社,3
大町市,3
大田原市社会福祉協議会,3
大分県福祉生活協同組合,3
大分部品株式会社,3
大豊福祉会,3
拓邦株式会社,3
辰野町,3
丹の国福祉会,3
丹波ささやま農業協同組合,3
丹波市,3
知多学園,3
知多福祉会,3
地域医療振興協会,3
地域福祉会,3
地方独立行政法人公立甲賀病院,3
地方独立行政法人広尾町国民健康保険病院,3
池田町,3
置戸町社会福祉協議会,3
竹心,3
中越介護支援センター株式会社,3
中央ケアサービス株式会社,3
中川会,3
中谷興運株式会社,3
中之条町,3
中富良野町,3
中京医療株式会社,3
朝倉恵愛会,3
長野市,3
津野山養護老人ホーム組合,3
天王福祉会,3
天空合同会社,3
天寿会,3
天草市,3
天竜厚生会,3
田能老人福祉会,3
田々美収繊維株式会社,3
土庄町,3
刀圭会,3
唐津福祉会,3
島津産業株式会社,3
島田市,3
東宇和農業協同組合,3
東栄町社会福祉協議会,3
東庄町,3
東西会,3
東日本ナーシング株式会社,3
東備福祉会,3
東北トーチ株式会社,3
東北福祉会,3
東京愛育苑,3
東京医療生活協同組合,3
東京葛飾医療生活協同組合,3
湯らん福祉会,3
湯浅町社会福祉協議会,3
湯前町社会福祉協議会,3
当別町,3
統合医療ビジネス株式会社,3
藤美会,3
同潤会,3
同仁会（社団）,3
同朋会,3
道東あさひ農業協同組合,3
徳和会,3
特定医療法人　扇翔会,3
特定医療法人　善昭会,3
特定医療法人　東筑会,3
特定医療法人楽山会,3
特定医療法人社団　研精会,3
特定医療法人社団　勝木会,3
特定医療法人桃仁会,3
特定社会福祉法人年長者の里,3
特定非営利活動法人　あかね会,3
特定非営利活動法人　いい日の里,3
特定非営利活動法人　ウェルネスサポート,3
特定非営利活動法人　エンゼルあきちゃん,3
特定非営利活動法人　おいなんよ,3
特定非営利活動法人　おひさまくらぶ,3
特定非営利活動法人　かけはし,3
特定非営利活動法人　こころ,3
特定非営利活動法人　さわやか福祉の会流山ユー・アイネット,3
特定非営利活動法人　だいこんの花,3
特定非営利活動法人　たすけあいすぎな,3
特定非営利活動法人　トライアングル・サークル,3
特定非営利活動法人　フロレンス那須,3
特定非営利活動法人　まごころネットワーク,3
特定非営利活動法人　ゆうあい,3
特定非営利活動法人　わっく室蘭,3
特定非営利活動法人　ワーカーズ・コレクティブひと,3
特定非営利活動法人　ワーカーズコレクティブグループとも,3
特定非営利活動法人　一番星きらら,3
特定非営利活動法人　芽ぶき,3
特定非営利活動法人　介護の会まつなみ,3
特定非営利活動法人　三和会,3
特定非営利活動法人　傘寿,3
特定非営利活動法人　尚之基金,3
